ESTADO/PROVÍNCIA;PAÍS/REGIÃO;PAIS/ESTADO;LAT;LON;1 º DIA;2 º DIA;3 º DIA;4 º DIA;5 º DIA;6 º DIA;7 º DIA;8 º DIA;9 º DIA;10 º DIA;11 º DIA;12 º DIA;13 º DIA;14 º DIA;15 º DIA;16 º DIA;17 º DIA;18 º DIA;19 º DIA;20 º DIA;21 º DIA;22 º DIA;23 º DIA;24 º DIA;25 º DIA;26 º DIA;27 º DIA;28 º DIA;29 º DIA;30 º DIA;31 º DIA;32 º DIA;33 º DIA;34 º DIA;35 º DIA;36 º DIA;37 º DIA;38 º DIA;39 º DIA;40 º DIA;41 º DIA;42 º DIA;43 º DIA;44 º DIA;45 º DIA;46 º DIA;47 º DIA;48 º DIA;49 º DIA;50 º DIA;51 º DIA;52 º DIA;53 º DIA;54 º DIA;55 º DIA;56 º DIA;57 º DIA;58 º DIA;59 º DIA;60 º DIA;61 º DIA;62 º DIA;63 º DIA;64 º DIA;65 º DIA;66 º DIA;67 º DIA;68 º DIA;69 º DIA
;Nicaragua;Nicaragua;128.654;-852.072;1;1;2;2;2;2;2;2;2;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Niger;Niger;176.078;80.817;1;1;2;3;3;7;10;10;10;18;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nigeria;Nigeria;9.082;86.753;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;8;8;12;22;30;40;44;51;65;70;89;111;131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;North Macedonia;North Macedonia;416.086;217.453;1;1;1;1;1;1;1;1;1;3;3;3;3;7;7;7;14;14;14;18;26;35;48;67;85;115;136;148;177;201;219;241;259;285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Norway;Norway;60.472;84.689;1;1;6;15;19;25;32;56;87;108;147;176;205;400;598;702;996;1090;1221;1333;1463;1550;1746;1914;2118;2385;2621;2863;3084;3369;3755;4015;4284;4445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Oman;Oman;21.0;57.0;2;2;4;4;4;6;6;6;12;15;16;16;16;16;16;18;18;18;19;19;22;22;24;39;48;48;52;55;66;84;99;109;131;152;167;179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pakistan;Pakistan;303.753;693.451;2;2;2;4;4;4;5;5;5;6;6;6;6;16;19;20;28;31;53;136;236;299;454;501;730;776;875;972;1063;1201;1373;1495;1597;1717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Panama;Panama;8.538;-807.821;1;8;11;27;36;43;55;69;86;109;137;200;313;345;345;443;558;674;786;901;989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Papua New Guinea;Papua New Guinea;-6.315;1.439.555;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Paraguay;Paraguay;-234.425;-584.438;1;1;1;5;5;6;6;6;8;9;11;11;13;18;22;22;27;37;41;52;56;59;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Peru;Peru;-9.19;-750.152;1;1;6;7;11;11;15;28;38;43;86;117;145;234;234;318;363;395;416;480;580;635;671;852;950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Philippines;Philippines;13.0;122.0;1;1;1;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;6;10;20;33;49;52;64;111;140;142;187;202;217;230;307;380;462;552;636;707;803;1075;1418;1546;;;;;;;;
;Poland;Poland;519.194;191.451;1;1;5;5;11;16;22;31;49;68;103;119;177;238;251;355;425;536;634;749;901;1051;1221;1389;1638;1862;2055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portugal;Portugal;393.999;-82.245;2;2;5;8;13;20;30;30;41;59;59;112;169;245;331;448;448;785;1020;1280;1600;2060;2362;2995;3544;4268;5170;5962;6408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Qatar;Qatar;253.548;511.839;1;3;3;7;8;8;8;8;15;18;24;262;262;320;337;401;439;439;452;460;470;481;494;501;526;537;549;562;590;634;693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Romania;Romania;459.432;249.668;1;1;3;3;3;3;3;4;6;9;9;15;15;25;45;49;89;123;131;158;184;260;277;308;367;433;576;794;906;1029;1292;1452;1815;2109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Russia;Russia;60.0;90.0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;4;13;13;17;17;20;20;28;45;59;63;90;114;147;199;253;306;367;438;495;658;840;1036;1264;1534;1836;;;;;;;;;
;Rwanda;Rwanda;-19.403;298.739;1;1;5;7;8;8;17;17;19;36;40;41;50;54;60;70;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Saint Lucia;Saint Lucia;139.094;-609.789;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;129.843;-612.872;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;San Marino;San Marino;439.424;124.578;1;1;1;1;8;10;16;21;21;23;36;36;51;62;69;80;80;101;109;109;119;119;144;144;175;187;187;208;208;223;224;224;230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Saudi Arabia;Saudi Arabia;24.0;45.0;1;1;1;5;5;5;11;15;20;21;45;86;103;103;118;171;171;274;344;392;511;562;767;900;1012;1104;1203;1299;1453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Senegal;Senegal;144.974;-144.524;1;2;4;4;4;4;4;4;4;4;4;10;10;24;24;26;31;31;38;47;67;79;86;99;105;119;130;142;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Serbia;Serbia;440.165;210.059;1;1;1;1;5;12;19;35;46;48;55;65;83;103;135;171;222;249;303;384;384;457;659;741;785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Seychelles;Seychelles;-46.796;55.492;2;2;3;4;4;6;7;7;7;7;7;7;7;7;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Singapore;Singapore;12.833;1.038.333;1;3;3;4;5;7;7;10;13;16;18;18;24;28;28;30;33;40;45;47;50;58;67;72;75;77;81;84;84;85;85;89;89;91;93;93;93;102;106;108;110;110;117;130;138;150;150;160;178;178;200;212;226;243;266;313;345;385;432;455;509;558;631;683;732;802;844;879;
;Slovakia;Slovakia;48.669;19.699;1;1;3;3;7;10;16;32;44;54;63;72;105;123;137;178;185;186;204;216;226;269;292;314;336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Slovenia;Slovenia;461.512;149.955;2;7;7;16;16;31;57;89;141;181;219;253;275;275;286;341;383;414;442;480;528;562;632;684;730;756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Somalia;Somalia;51.521;461.996;1;1;1;1;1;1;1;1;1;1;2;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;South Africa;South Africa;-305.595;229.375;1;1;1;3;3;7;13;17;24;38;51;62;62;116;150;202;240;274;402;554;709;927;1170;1187;1280;1326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Spain;Spain;40.0;-4.0;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;13;15;32;45;84;120;165;222;259;400;500;673;1073;1695;2277;2277;5232;6391;7798;9942;11748;13910;17963;20410;25374;28768;35136;39885;49515;57786;65719;73235;80110;87956;;;;;;;;;;
;Sri Lanka;Sri Lanka;7.0;81.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;6;10;18;28;44;51;60;73;77;82;97;102;102;106;106;113;117;122;;;;;
;Sudan;Sudan;128.628;302.176;1;1;1;1;1;2;2;2;2;2;2;3;3;3;3;5;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suriname;Suriname;39.193;-560.278;1;1;1;1;1;1;4;4;5;5;7;8;8;8;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sweden;Sweden;63.0;16.0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;7;7;12;14;15;21;35;94;101;161;203;248;355;500;599;814;961;1022;1103;1190;1279;1439;1639;1763;1934;2046;2286;2526;2840;3069;3447;3700;4028;;;;;;;;;
;Switzerland;Switzerland;468.182;82.275;1;1;8;8;18;27;42;56;90;114;214;268;337;374;491;652;652;1139;1359;2200;2200;2700;3028;4075;5294;6575;7474;8795;9877;10897;11811;12928;14076;14829;15922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Taiwan*;Taiwan*;23.7;121.0;1;1;3;3;4;5;8;8;9;10;10;10;10;11;11;16;16;17;18;18;18;18;18;18;18;20;22;22;23;24;26;26;28;30;31;32;32;34;39;40;41;42;42;44;45;45;45;45;47;48;49;50;53;59;67;77;100;108;135;153;169;195;215;235;252;267;283;298;306
;Tanzania;Tanzania;-6.369;348.888;1;1;3;6;6;6;12;12;12;12;13;13;14;14;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Thailand;Thailand;15.0;101.0;2;3;5;7;8;8;14;14;14;19;19;19;19;25;25;25;25;32;32;32;33;33;33;33;33;34;35;35;35;35;35;35;35;35;37;40;40;41;42;42;43;43;43;47;48;50;50;50;53;59;70;75;82;114;147;177;212;272;322;411;599;721;827;934;1045;1136;1245;1388;1524
;Togo;Togo;86.195;0.8248;1;1;1;1;1;1;1;1;1;1;1;1;1;1;9;16;16;18;20;23;23;25;25;25;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Trinidad and Tobago;Trinidad and Tobago;106.918;-612.225;2;2;4;5;7;9;9;49;50;51;57;60;65;66;74;78;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tunisia;Tunisia;34.0;9.0;1;1;1;1;2;2;5;7;7;16;18;18;20;24;29;39;54;60;75;89;114;173;197;227;278;312;312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Turkey;Turkey;389.637;352.433;1;1;5;5;6;18;47;98;192;359;670;1236;1529;1872;2433;3629;5698;7402;9217;10827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Uganda;Uganda;1.0;32.0;1;1;9;9;14;14;23;30;33;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ukraine;Ukraine;483.794;311.656;1;1;1;1;1;1;1;1;1;1;3;3;3;7;14;14;16;29;47;73;73;97;145;196;310;356;475;548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;United Arab Emirates;United Arab Emirates;24.0;54.0;4;4;4;4;5;5;5;5;5;5;7;7;8;8;8;8;8;8;9;9;9;9;9;9;13;13;13;13;13;13;19;21;21;21;27;27;29;29;45;45;45;74;74;85;85;85;98;98;98;113;140;140;153;153;198;248;333;333;405;468;570;611;;;;;;;
Bermuda;United Kingdom;United Kingdom - Bermuda;323.078;-647.505;2;2;2;6;6;6;7;15;17;17;22;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cayman Islands;United Kingdom;United Kingdom - Cayman Islands;193.133;-812.546;1;1;1;1;1;1;3;3;3;3;5;6;8;8;8;8;8;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Channel Islands;United Kingdom;United Kingdom - Channel Islands;493.723;-23.644;1;2;2;2;2;3;6;6;6;11;14;32;32;36;36;46;66;88;97;108;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gibraltar;United Kingdom;United Kingdom - Gibraltar;361.408;-53.536;1;1;1;1;1;1;1;1;1;1;1;1;1;3;8;10;10;10;15;15;15;26;35;55;56;65;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Isle of Man;United Kingdom;United Kingdom - Isle of Man;542.361;-45.481;1;1;5;13;23;23;25;29;32;42;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Montserrat;United Kingdom;United Kingdom - Montserrat;167.425;-621.874;1;1;1;1;1;1;1;1;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;United Kingdom;United Kingdom;553.781;361.005.052;2;2;2;2;2;2;2;3;3;3;8;8;9;9;9;9;9;9;9;9;9;9;9;9;13;13;13;15;20;23;36;40;51;85;115;163;206;273;321;382;456;456;798;1140;1140;1543;1950;2626;2689;3983;5018;5683;6650;8077;9529;11658;14543;17089;19522;22141;;;;;;;;;
;Uruguay;Uruguay;-325.228;-557.658;4;4;8;29;50;79;94;110;158;162;162;189;217;238;274;304;310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;US;US;370.902;-957.129;1;1;2;2;5;5;5;5;5;7;8;8;11;11;11;11;11;11;11;11;12;12;13;13;13;13;13;13;13;13;15;15;15;51;51;57;58;60;68;74;98;118;149;217;262;402;518;583;959;1281;1663;2179;2727;3499;4632;6421;7783;13677;19100;25489;33276;43847;53740;65778;83836;101657;121478;140886;161807
;Uzbekistan;Uzbekistan;413.775;645.853;1;6;10;15;23;33;43;43;46;50;60;75;88;104;144;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Venezuela;Venezuela;64.238;-665.897;2;10;17;33;36;42;42;70;70;77;84;91;107;107;119;119;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vietnam;Vietnam;16.0;108.0;2;2;2;2;2;2;2;2;2;6;6;8;8;8;10;10;13;13;14;15;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;18;30;30;31;38;39;47;53;56;61;66;75;85;91;94;113;123;134;141;153;163;174;188;203;
;Zambia;Zambia;-154.167;282.833;2;2;2;2;3;3;3;12;16;22;28;29;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zimbabwe;Zimbabwe;-20.0;30.0;1;3;3;3;3;3;3;5;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diamond Princess;Canada;Canada - Diamond Princess;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dominica;Dominica;15.415;-61.371;1;2;2;7;11;11;11;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Grenada;Grenada;121.165;-1.159.327.739;1;1;1;1;7;7;7;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mozambique;Mozambique;-18.665.695;35.529.562;1;1;3;5;7;7;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Syria;Syria;34.802.075;1.519.087.361;1;1;1;5;5;5;5;9;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Timor-Leste;Timor-Leste;-8.874.217;125.727.539;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Belize;Belize;131.939;-595.432;1;1;2;2;2;2;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recovered;Canada;Canada - Recovered;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Laos;Laos;535.432.194;102.495.496;2;3;6;6;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Libya;Libya;263.351;17.228.331;1;1;1;1;3;8;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;West Bank and Gaza;West Bank and Gaza;319.522;352.332;4;7;16;16;19;26;30;30;31;35;38;38;39;41;44;47;48;52;59;59;59;84;91;98;109;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Guinea-Bissau;Guinea-Bissau;118.037;-151.804;2;2;2;2;2;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mali;Mali;17.570.692;421.217.279;2;4;11;18;18;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Saint Kitts and Nevis;Saint Kitts and Nevis;17.357.822;-62.782.998;2;2;2;2;2;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northwest Territories;Canada;Canada - Northwest Territories;648.255;-1.248.457;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yukon;Canada;Canada - Yukon;642.823;-135.0;3;3;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kosovo;Kosovo;42.602.636;20.902.977;71;86;91;94;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Burma;Burma;219.162;95.956;8;8;10;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anguilla;United Kingdom;United Kingdom - Anguilla;182.206;-630.686;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
British Virgin Islands;United Kingdom;United Kingdom - British Virgin Islands;184.207;-64.64;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Turks and Caicos Islands;United Kingdom;United Kingdom - Turks and Caicos Islands;-866.111.487;-717.979;4;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MS Zaandam;MS Zaandam;0.0;0.0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Botswana;Botswana;-223.285;246.849;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alagoas;Brazil;Brazil - Alagoas;;;1;1;1;1;1;1;1;1;1;1;4;5;7;7;7;9;11;11;14;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amapá;Brazil;Brazil - Amapá;;;1;1;1;1;1;2;2;4;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amazonas;Brazil;Brazil - Amazonas;;;1;1;1;1;1;1;2;3;7;11;26;32;47;54;67;81;111;140;151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bahia;Brazil;Brazil - Bahia;;;1;1;1;2;2;2;2;2;2;2;2;3;27;30;33;41;49;63;76;104;115;128;176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ceará;Brazil;Brazil - Ceará;;;5;20;20;55;68;112;163;182;235;282;314;372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Distrito Federal;Brazil;Brazil - Distrito Federal;;;1;1;2;2;2;5;8;12;22;36;42;87;100;117;133;160;160;230;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espírito Santo;Brazil;Brazil - Espírito Santo;;;1;1;1;1;1;1;1;1;1;1;1;1;11;11;13;26;26;29;33;39;47;53;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goiás;Brazil;Brazil - Goiás;;;3;3;3;3;6;12;12;15;20;21;23;27;39;49;56;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maranhão;Brazil;Brazil - Maranhão;;;1;2;2;8;10;13;14;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mato Grosso;Brazil;Brazil - Mato Grosso;;;1;2;2;2;7;11;11;13;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mato Grosso do Sul;Brazil;Brazil - Mato Grosso do Sul;;;2;4;7;7;9;16;21;21;23;25;28;31;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Minas Gerais;Brazil;Brazil - Minas Gerais;;;1;1;1;1;2;2;2;5;7;19;29;35;38;83;128;130;153;189;205;261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pará;Brazil;Brazil - Pará;;;1;1;2;2;4;5;5;13;13;17;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paraíba;Brazil;Brazil - Paraíba;;;1;1;1;1;1;2;5;9;14;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paraná;Brazil;Brazil - Paraná;;;6;6;6;6;6;6;14;23;32;43;50;56;65;102;119;133;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pernambuco;Brazil;Brazil - Pernambuco;;;2;2;2;2;16;22;28;30;30;37;42;42;48;56;68;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piauí;Brazil;Brazil - Piauí;;;3;4;4;6;6;9;9;11;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Brazil;Brazil - Rio de Janeiro;;;1;1;1;3;8;13;13;16;24;24;31;33;63;65;109;119;186;233;305;421;493;558;657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio Grande do Norte;Brazil;Brazil - Rio Grande do Norte;;;1;1;1;1;1;1;1;1;6;9;13;13;19;28;45;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio Grande do Sul;Brazil;Brazil - Rio Grande do Sul;;;1;2;4;4;6;6;8;20;28;28;37;60;72;86;98;168;195;197;241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rondônia;Brazil;Brazil - Rondônia;;;1;1;3;3;3;5;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roraima;Brazil;Brazil - Roraima;;;2;2;2;8;10;12;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santa Catarina;Brazil;Brazil - Santa Catarina;;;2;3;6;7;7;14;20;21;51;57;68;107;122;149;184;197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
São Paulo;Brazil;Brazil - São Paulo;;;1;1;1;2;2;2;2;3;4;10;13;16;16;19;30;46;56;65;136;152;164;240;286;396;459;631;745;810;1052;1223;1.406;1.517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergipe;Brazil;Brazil - Sergipe;;;1;1;1;4;6;6;6;10;10;10;15;16;16;16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tocantins;Brazil;Brazil - Tocantins;;;1;1;1;2;2;5;7;7;8;9;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acre;Brazil;Brazil - Acre;;;1;3;3;7;9;11;11;17;25;25;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manaus;Brazil;Brazil - Manaus;;;1;1;1;1;1;1;2;3;7;11;25;31;45;52;63;74;105;131;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
